DATE,housing_price_index,mortgage_rate,unemployment_rate,total_construction_spending,population,new_home_sold,iron_ore_price,concrete_purchase_price_index,building_permits,dji,gdp,house_under_construction
2000-01-01,100.552,8.209999999999999,4.0,784940,281083.0,873.0,12.45,143.2,1727.0,10940.5302734375,10002.179,991.0
2000-02-01,101.339,8.325000000000001,4.1,793737,281299.0,856.0,12.45,143.7,1692.0,10128.3095703125,10002.179,998.0
2000-03-01,102.127,8.24,4.0,809459,281531.0,900.0,12.45,143.7,1651.0,10921.919921875,10002.179,988.0
2000-04-01,102.922,8.1525,3.8,804766,281763.0,841.0,12.45,143.7,1597.0,10733.91015625,10247.72,989.0
2000-05-01,103.677,8.514999999999999,4.0,805005,281996.0,857.0,12.45,149.2,1543.0,10522.330078125,10247.72,985.0
2000-06-01,104.424,8.288,4.0,795411,282247.0,793.0,12.45,144.3,1572.0,10447.8896484375,10247.72,982.0
2000-07-01,105.054,8.1475,4.0,783795,282504.0,887.0,12.45,144.3,1542.0,10521.98046875,10318.165,979.0
2000-08-01,105.767,8.0275,4.1,805341,282769.0,848.0,12.45,144.3,1552.0,11215.099609375,10318.165,976.0
2000-09-01,106.537,7.912000000000001,3.9,814330,283033.0,912.0,12.45,144.3,1570.0,10650.919921875,10318.165,970.0
2000-10-01,107.382,7.795,3.9,816100,283285.0,933.0,12.45,144.3,1577.0,10971.1396484375,10435.744,972.0
2000-11-01,108.302,7.745,3.9,820054,283523.0,880.0,12.45,144.3,1614.0,10414.490234375,10435.744,970.0
2000-12-01,109.14,7.382000000000001,3.9,811516,283748.0,983.0,12.45,144.2,1543.0,10787.990234375,10435.744,969.0
2001-01-01,109.846,7.032500000000001,4.2,814479,283960.0,936.0,12.99,144.2,1699.0,10887.3603515625,10470.231,986.0
2001-02-01,110.5,7.05,4.2,813647,284166.0,963.0,12.99,144.2,1656.0,10495.2802734375,10470.231,987.0
2001-03-01,111.108,6.952000000000001,4.3,828057,284380.0,939.0,12.99,144.2,1659.0,9878.7802734375,10470.231,1001.0
2001-04-01,111.651,7.077500000000001,4.4,842392,284602.0,909.0,12.99,148.0,1666.0,10734.9697265625,10599.0,1007.0
2001-05-01,112.163,7.145,4.3,848146,284834.0,885.0,12.99,149.3,1665.0,10911.9404296875,10599.0,1015.0
2001-06-01,112.796,7.160000000000001,4.5,855730,285076.0,882.0,12.99,149.3,1626.0,10502.400390625,10599.0,1013.0
2001-07-01,113.491,7.1275,4.6,850471,285324.0,880.0,12.99,149.3,1598.0,10522.8095703125,10598.02,1017.0
2001-08-01,114.166,6.95,4.9,847465,285584.0,866.0,12.99,149.3,1615.0,9949.75,10598.02,1011.0
2001-09-01,114.811,6.8175,5.0,837412,285842.0,853.0,12.99,149.3,1565.0,8847.5595703125,10598.02,1014.0
2001-10-01,115.308,6.6175,5.3,845941,286086.0,871.0,12.99,149.3,1566.0,9075.1396484375,10660.465,1008.0
2001-11-01,115.855,6.6579999999999995,5.5,843911,286315.0,924.0,12.99,149.3,1651.0,9851.5595703125,10660.465,1011.0
2001-12-01,116.453,7.065,5.7,849689,286533.0,979.0,12.99,149.3,1680.0,10021.5703125,10660.465,996.0
2002-01-01,117.143,6.9975000000000005,5.7,858654,286739.0,880.0,12.68,149.3,1665.0,9920.0,10783.5,996.0
2002-02-01,117.844,6.892499999999999,5.7,862338,286935.0,948.0,12.68,149.3,1787.0,10106.1298828125,10783.5,1005.0
2002-03-01,118.687,7.014,5.7,844551,287131.0,923.0,12.68,148.6,1691.0,10403.9404296875,10783.5,1013.0
2002-04-01,119.611,6.985,5.9,858240,287343.0,936.0,12.68,150.1,1669.0,9946.2197265625,10887.46,1011.0
2002-05-01,120.724,6.806,5.8,850935,287571.0,978.0,12.68,150.1,1716.0,9925.25,10887.46,1019.0
2002-06-01,121.813,6.65,5.8,846777,287808.0,957.0,12.68,150.5,1758.0,9243.259765625,10887.46,1023.0
2002-07-01,122.888,6.485,5.8,847129,288051.0,956.0,12.68,150.5,1738.0,8736.58984375,10984.04,1029.0
2002-08-01,123.831,6.289999999999999,5.7,839008,288303.0,1014.0,12.68,150.5,1695.0,8663.5,10984.04,1013.0
2002-09-01,124.78,6.092499999999999,5.7,832134,288554.0,1044.0,12.68,150.5,1803.0,7591.93017578125,10984.04,1024.0
